phone_owns,internet_use,wealth_quintile,education,urban_rural,maternal_age
1,1,4,Secondary,Urban,22
1,1,4,No education,Urban,38
1,1,4,Secondary,Urban,24
1,1,4,Higher,Urban,27
1,1,5,Secondary,Urban,35
1,1,5,Primary,Urban,19
1,0,5,Secondary,Urban,23
1,1,5,Higher,Urban,23
0,0,5,Secondary,Urban,21
1,1,5,Higher,Urban,26
1,1,5,Primary,Urban,47
1,1,5,Higher,Urban,23
1,1,5,Higher,Urban,21
1,0,4,Primary,Urban,29
1,1,4,Primary,Urban,28
1,0,3,Primary,Urban,34
0,0,3,No education,Urban,40
1,0,4,Primary,Urban,36
0,0,4,Secondary,Urban,18
1,0,4,Primary,Urban,29
0,0,4,Secondary,Urban,17
1,0,3,Primary,Urban,47
0,0,3,Primary,Urban,16
1,0,3,Primary,Urban,45
0,1,3,Secondary,Urban,21
1,1,4,Primary,Rural,43
1,0,4,Primary,Rural,19
0,0,1,No education,Rural,35
0,0,2,Primary,Rural,25
0,0,1,No education,Rural,22
1,0,1,Primary,Rural,46
0,0,1,No education,Rural,31
1,0,1,Secondary,Rural,18
1,0,2,Primary,Rural,23
1,0,1,Primary,Rural,38
0,0,1,Primary,Rural,16
1,1,1,Primary,Rural,29
1,0,1,Primary,Rural,35
1,0,1,Primary,Rural,34
1,1,2,Primary,Rural,46
1,1,2,Higher,Rural,38
1,0,1,Primary,Rural,40
1,0,1,No education,Rural,34
0,0,1,No education,Rural,31
1,0,1,Primary,Rural,48
1,0,1,Primary,Rural,34
1,0,1,Primary,Rural,30
1,0,1,Primary,Rural,21
0,0,1,Primary,Rural,31
0,0,1,Primary,Rural,15
1,0,1,Primary,Rural,28
1,0,1,No education,Rural,27
0,0,1,No education,Rural,45
1,1,1,Higher,Rural,27
0,0,1,Primary,Rural,16
1,0,1,Primary,Rural,17
1,0,1,Primary,Rural,38
0,0,1,No education,Rural,39
0,0,1,Primary,Rural,16
1,0,1,Primary,Rural,36
1,0,1,Secondary,Rural,21
1,1,3,Primary,Rural,25
1,0,1,Primary,Rural,30
